Data,Luogo,X,Y,Numero_Predati,Specie_Predate,Osservazioni
2025-02-03 09:55:00,Cantone,,,2025,,
2025-01-08 12:00:00,Centovalli/Lago,,,,,
2024-10-13 00:00:00,Gordevio,,,123,,Ritrovamento di una capra morta Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.
2024-10-02 13:40:00,"Vallemaggia – In riferimento al video diffuso oggi, che mostra una lince mentre preda un camoscio, possiamo confermare, dopo le opportune verifiche, che non è stato girato in Ticino, bensì nel Canton Vaud.",,,,,
2024-09-23 09:00:00,Tamaro/Lema,,,,,
2024-09-02 13:30:00,Val Colla,,,,,
2024-08-25 00:00:00,Vallemaggia,,,,,
2024-08-06 00:00:00,Valcolla,,,,,
2023-12-02 00:00:00,Mezzovico,,,,,
2023-10-18 00:00:00,Val Colla,,,,,
2023-10-14 00:00:00,Bosco Gurin,,,,,
2023-10-13 00:00:00,Valcolla,,,,,
2023-10-04 00:00:00,Valcolla,,,,,
2023-09-12 00:00:00,Valcolla,,,,,
2023-07-17 00:00:00,Bosco Gurin,2678000,1130000,,,"Riscontro DNA: ""Lupo"""
2022-10-14 00:00:00,Mendrisio,2720000,1083000,,,Intensificazione del monitoraggio
2022-09-26 00:00:00,Capriasca,,,1,pecora,Animali non protetti adeguatamente In attesa di riscontro DNA
2022-09-25 00:00:00,Valcolla,,,,,
2022-09-06 00:00:00,"Durante il mese di agosto, è stata accertata la presenza di un cucciolo di lince in Alta Leventina. Il parto avviene solitamente durante i mesi di maggio e giugno dopo circa due mesi e mezzo di gestazione. Una femmina dà alla luce da uno a quattro cuccioli per cucciolata. Nonostante la presenza del felino, già riscontrata durante il 2021, ad oggi non si segnalano aggressioni ad animali da reddito. Sempre durante agosto, sono stati ritrovati parti di uno scheletro di una lince adulta in Media Leventina. Le analisi per determinare sesso, età, e la possibile causa di morte sono attualmente in corso in collaborazione col centro per la gestione e il monitoraggio dei grandi carnivori (KORA)",,,,,
2022-07-27 00:00:00,Anzonico,,,2,carcasse di capra in avanzato stato di decomposizione,Animali protetti adeguatamente DNA non raccoglibile causa avanzato stato di decomposizione
2022-06-18 00:00:00,Corzonesco,2712000,1145000,,,Al momento dell'attacco animali non protetti Riscontro DNA: lupo
2022-05-03 00:00:00,Novazzano,,,,,"dopo l’evento predatorio, nel comprensorio del Mendrisiotto non è più stato visto o segnalato un lupo l'ipotesi più plausibile resta quella di un esemplare in dispersione che ha già lasciato la zona il monitoraggio intensificato resterà comunque attivo per alcune settimane."
2022-04-02 07:20:00,Dosso di Taverne-Ponte Capriasca – coordinate 716/103 – rinvenuto un lupo morto investito da un treno,,,,,
2021-09-08 00:00:00,Alpe Sfille/Campo Vallemaggia,2678000,1122000,,,
2020-12-17 14:40:00,Lupo – Piano di Magadino,,,,,
2020-02-10 00:00:00,Canaa/Maggia – coordinate 698/124 – Predazione 1 capra,,,,,
2019-09-26 10:20:00,Predazioni Val Canaria,,,,,
2019-04-24 08:56:00,Lupo e lince in Ticino nel “Rapporto grandi predatori 2018”,,,,,
2019-02-05 10:45:01,Lupo M94,,,,,
2018-11-08 13:32:01,Lupa F08 della Valle Morobbia,,,,,
2018-08-10 14:03:01,Quarta riproduzione della muta di lupi della Valle Morobbia,,,,,
2017-08-14 09:25:01,Certificata la terza riproduzione di lupo in Val Morobbia,,,,,
2017-03-22 13:59:01,Rilascio autorizzazione abbattimento lupo M75,,,,,
2016-08-25 15:58:01,Certificata la seconda riproduzione di lupo in Val Morobbia,,,,,
2013-06-22 07:39:01,"Sabato 22 giugno 2013 è stato investito da un treno un lupo nel Gambarogno. L'esemplare era un maschio di origine italiana e dalle analisi genetiche risulta essere M36, un lupo presente nel 2012 nella muta della zona della Calanda in Grigioni",,,,,
2009-06-08 16:07:01,Bosco Gurin: la presenza/passaggio di un lupo di origine italiana in alta Val Rovana è stata confermata dalle analisi genetiche effettuate su sterco raccolto il 5 maggio 2009 a Bosco Gurin,,,,,
2009-01-30 16:08:01,"Pubblicati i rapporti ""Centro di competenza protezione greggi Ticino (CeCoTI) 2008"" e ""Resoconto lupo in Ticino nel 2008"" [www.ti.ch/lupo]",,,,,
2008-05-08 16:24:01,"Sonogno. La presenza di un lupo in alta Val Verzasca è stata confermata dalle analisi effettuate su sterco raccolto nel mese di aprile a Sonogno. Le analisi genetiche confermano che si tratta di un lupo di origine italiana, probabilmente maschio",,,,,
2008-03-05 16:20:01,Quinto,2697000,1151000,2004,privato nel comune di Quinto,
2008-02-15 11:06:01,Posa tagliole e lacci metallici,,,,,
2006-03-15 16:30:01,"Faido, fotografato un esemplare di lupo. L'analisi genetica dello sterco ha confermato che si tratta di un lupo di origine italiana",,,,,
2006-02-02 16:31:01,"Prato Leventina, ferimento del lupo presente in Leventina ad opera di bracconieri",,,,,
2006-01-09 16:32:01,"L'Ufficio della caccia e della pesca ha pubblicato il ""Resoconto lupo in Ticino nel 2005"" [www.ti.ch/lupo]",,,,,
2005-03-21 16:44:01,Quinto,,,,,
2005-01-12 16:48:01,"Lupo investito e ucciso alle porte di Roma. L'animale, un maschio di sette mesi, è stato travolto da un'auto pirata. E' il primo lupo avvistato nella zona, fortemente urbanizzata, dagli anni '30",,,,,
2004-11-17 16:51:01,"Un giovane maschio di lupo, equipaggiato di collare GPS nel corso del mese di febbraio di quest'anno nella regione di Parma, ha sinora percorso quasi 400 km sino alle Alpi Marittime e attualmente si trova nei pressi del confine con la Francia",,,,,
2004-10-27 16:52:01,Riassunto delle predazioni del lupo in Ticino 2001-2004,,,,,
