Data,Luogo,X,Y,Numero_Predati,Specie_Predate,Osservazioni,Long,Lat
2025-07-26 00:00:00,Bedretto,2683620,1153301,6,pecore,Animali protetti adeguatamente Atto di predazione osservato.,8.528484622044811,46.52578630048824
2025-07-23 00:00:00,Vergeletto,2681835,1120169,1,pecore e una capra,Animali non protetti per cause di forza maggiore In attesa di riscontro analisi DNA,8.499386128836667,46.2279912516696
2025-07-23 00:00:00,Mezzovico,2712426,1106757,1,capra,Animali non proteggibili In attesa di riscontro analisi DNA.,8.892605393782175,46.10294766005764
2025-07-23 00:00:00,Blenio,2712206,1159026,1,pecora,Animali non proteggibili In attesa riscontro analisi DNA,8.90237149467127,46.57309506142898
2025-07-21 00:00:00,Fusio,2692328,1143890,5,pecore,Animali non proteggibili In attesa di riscontro analisi DNA,8.640083790828744,46.43999387874526
2025-07-21 00:00:00,Miglieglia,2705542,1097916,3,pecore,Un ulteriore capo segnalato come disperso Animali protetti adeguatamente In attesa di riscontro analisi DNA,8.8016096415162,46.02454283724361
2025-07-15 00:00:00,Medeglia,2725330,1111380,1,capra,3 capi segnalati come dispersi Protezione degli animali in fase di accertamento In attesa di riscontro analisi DNA.,9.060678750893958,46.14225052698223
2025-07-12 00:00:00,Bellinzona,2723083,1116642,2,pecore,Animali non protetti adeguatamente in attesa di riscontro analisi DNA,9.032989799290652,46.189989747698974
2025-07-11 00:00:00,Lavizzara,2688800,1138777,6,pecore,Animali non proteggibili In attesa di riscontro analisi DNA,8.593202557105982,46.39448083618975
2025-07-11 00:00:00,Mezzovico,2712426,1106757,1,capra,7 ulteriori capi segnalati come dispersi Animali non proteggibili In attesa di riscontro analisi DNA,8.892605393782175,46.10294766005764
2025-07-10 00:00:00,Serravalle,2722285,1144082,1,pecora,Animali non protetti adeguatamente In attesa di riscontro analisi DNA,9.029864462975972,46.43692485393248
2025-07-09 00:00:00,Bosco Gurin,2679594,1130160,5,capre,10 ulteriori capi segnalati come dispersi Animali non proteggibili In attesa di riscontro analisi DNA,8.472047158490868,46.31812749871193
2025-07-08 00:00:00,Bellinzona,2722055,1114582,2,pecore,Animali non protetti adeguatamente In attesa di riscontro analisi DNA,9.019139749359438,46.171649721151844
2025-07-07 00:00:00,Blenio,2719010,1162000,2,pecore,Ulteriori 6 capi segnalati come dispersi Animali non proteggibili In attesa di riscontro analisi DNA,8.991875546488956,46.59866619839089
2025-07-07 00:00:00,Blenio,2715851,1163927,3,pecore,Ulteriori 9 capi segnalati come dispersi Animali non protetti adeguatamente In attesa di riscontro analisi DNA,8.951141557418996,46.616552529788024
2025-07-06 00:00:00,Mezzovico,2712000,1426000,1,capra,Animali non proteggibili In attesa di riscontro analisi DNA,8.9675576035762,48.97339881055286
2025-07-05 00:00:00,Roseto,2684979,1136991,1,pecora,Un ulteriore capo segnalato come disperso Animali non protetti adeguatamente DNA non prelevabile,8.543202474329858,46.37891108423953
2025-07-04 00:00:00,Mezzovico,2712426,1106757,2,capre,Animali non protetti adeguatamente In attesa di riscontro analisi DNA,8.892605393782175,46.10294766005764
2025-07-04 00:00:00,Bedretto,2681700,1150665,1,pecora,Animali non protetti adeguatamente In attesa di riscontro analisi DNA.,8.502997814886195,46.5023131787528
