X,Y,id,data,luogo,x,y,numero_predati,specie_predate,osservazioni,icon_url
8.47204715849087,46.3181274987119,1,2025/07/09 00:00:00,Bosco Gurin,2679594,1130160,5,capre,10 ulteriori capi segnalati come dispersi Animali non proteggibili In attesa di riscontro analisi DNA,./0.png
8.97443555661257,46.1257596061345,38,2025/01/24 00:00:00,Isone,2718703,1109413,2,pecore,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,./1.png
8.8938012911347,46.0304248548024,39,2025/01/22 00:00:00,Cademario,2712668,1098698,1,vitellino appena nato ferito,Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore,./1.png
9.03494372438077,45.8512844122265,76,2024/08/03 00:00:00,Sagno,2724000,1079000,1,pecora,Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore,./1.png
8.42847487030689,46.4880078522583,77,2024/07/29 00:00:00,Bedretto,2676000,1149000,11,pecore,Un numero imprecisato di animali segnalati come dispersi Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,./2.png
8.45149462560412,46.3258701373851,154,2023/08/13 00:00:00,Bosco Gurin,2678000,1131000,1,pecora,"Animali non proteggibili Riscontro DNA: ""lupo"".",./1.png
8.7418690641216,46.5208320592651,249,2022/07/23 00:00:00,Quinto,2700000,1153000,13,carcasse di pecora in avanzato stato di decomposizione,Alcuni animali dispersi Animali non proteggibili DNA non raccoglibile causa avanzato stato di decomposizione,./2.png
8.55962987775339,46.5317720108473,366,2004/09/29 16:53:01,Airolo,2686000,1154000,1,pecora uccisa,,./1.png
8.89066505905255,46.0237175657706,411,2025/04/20 00:00:00,Cademario,2712439,1097948,1,agnello,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,./1.png
8.8452050452952,46.0237817894844,413,2025/04/07 00:00:00,Novaggio,2708919,1097891,1,montone,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento un lupo.,./1.png
8.50714242606557,46.5142845335485,450,2024/08/20 00:00:00,Bedretto,2682000,1152000,1,pecora,Animali non protetti per cause di forza maggiore Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,./1.png
8.77364132574416,46.223564512004,478,2024/06/12 00:00:00,Gordevio,2703000,1120000,1,capra,Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,./1.png
9.01126843209569,45.9235958093627,485,2024/05/05 00:00:00,Breggia,2722000,1087000,2,agnelli,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,./1.png
8.8250172788801,46.2049519541404,533,2023/08/21 00:00:00,Mergoscia,2707000,1118000,1,pecora,"Animali non protetti adeguatamente Riscontro DNA: ""ungulato"".",./1.png
8.7418690641216,46.5208320592651,621,2022/08/13 00:00:00,Quinto,2700000,1153000,6,carcasse di pecora in avanzato stato di decomposizione,Alcuni animali dispersi Animali non proteggibili DNA non raccoglibile causa avanzato stato di decomposizione,./2.png
8.50731987390698,46.5232793042312,731,2008/08/18 16:15:01,Bedretto,2682000,1153000,2,pecore,,./1.png
8.78972449284852,46.349330895826,732,2008/05/08 16:16:01,Sonogno,2704000,1134000,1,capra,,./1.png
